country_code,year,total number of patents,"GNI per capita, Atlas method (current US$)","Literacy rate, adult total (% of people ages 15 and above)",Urban population,"Adjusted net savings, excluding particulate emission damage (current US$)",GDP (current US$),"Mortality rate, neonatal (per 1,000 live births)"
ARG,2010,4782,9270.0,98.9549713134766,37055902.0,28737875335.6407,423627422092.49,7.7
ARG,2009,4985,7790.0,98.9834213256836,36714243.0,25480819665.6001,332976484577.61896,7.8
ARG,2008,5606,7670.0,,36284568.0,36899193376.3396,361558037110.419,8.0
ARG,2007,5765,6510.0,,35861117.0,32278588918.4141,287530508430.568,8.4
ARG,2006,5687,5480.0,98.6108016967773,35439468.0,20167447153.4841,232557260817.308,8.7
ARG,2005,5425,4260.0,,35015688.0,317233713.645566,198737095012.282,9.2
ARG,2004,4730,3370.0,,34588884.0,-189632514.818725,164657930452.787,9.7
ARG,2003,4583,3650.0,,34159484.0,9020168387.162642,127586973492.177,10.3
ARG,2002,4573,4040.0,,33728928.0,4350437806.94155,97724004251.8602,10.8
ARG,2001,5313,7000.0,97.1933135986328,33297960.0,10989674506.4422,268696750000.0,11.0
ARG,2000,5951,7470.0,,32867365.0,11593219846.0613,284203750000.0,10.9
ARM,2010,,3470.0,,1825368.0,75672615.1292461,9260284937.79781,10.1
ARM,2009,2,3340.0,,1835095.0,280970249.256384,8647936747.987041,10.6
ARM,2008,,3600.0,,1850406.0,2056950569.4047601,11662040713.8753,11.2
ARM,2007,,2760.0,,1869219.0,1583128816.51023,9206301700.39619,11.7
ARM,2006,,2020.0,,1888550.0,1059974493.4190199,6384451606.1421,12.3
ARM,2005,1,1540.0,,1906159.0,536307575.568625,4900469950.09033,13.0
ARM,2004,,1180.0,,1921598.0,199084114.071462,3576615240.41616,13.6
ARM,2003,1,960.0,,1935615.0,27244470.5826707,2807061008.69084,14.4
ARM,2002,,800.0,,1948905.0,-154183091.11593202,2376335048.3997602,15.1
ARM,2001,1,710.0,99.4001617431641,1964184.0,-236938581.561192,2118467913.37873,15.9
ARM,2000,1,660.0,,1984986.0,-343498168.193015,1911563668.8500602,16.4
AUS,2010,50851,46630.0,,18767085.0,81131508568.3155,1146138465603.81,2.7
AUS,2009,47783,44050.0,,18451611.0,83425137738.7517,927805183330.879,2.8
AUS,2008,48600,42330.0,,18049708.0,61458498005.8866,1053995523724.26,2.9
AUS,2007,48808,37300.0,,17666387.0,47448537550.6647,853099630996.31,3.0
AUS,2006,50469,34090.0,,17531121.0,47635901346.0024,746054207846.6609,3.1
AUS,2005,49913,30310.0,,17250330.0,43183350976.3398,693407758231.845,3.2
AUS,2004,47422,25480.0,,17000206.0,46650169087.7639,612490396927.0171,3.3
AUS,2003,147220,21120.0,,16780377.0,33331389784.5439,466488060570.7629,3.4
AUS,2002,70641,19990.0,,16550802.0,28235064299.2044,394648911678.52704,3.4
AUS,2001,109927,20110.0,,16326333.0,22280674038.6612,378376086723.194,3.5
AUS,2000,100783,21120.0,,16133530.0,25266825130.2013,415222633925.768,3.5
AUT,2010,5983,49610.0,,4800510.0,51644669313.6962,391892746544.69,2.5
AUT,2009,12433,49000.0,,4812679.0,49516645576.4801,400172297860.517,2.6
AUT,2008,20168,49110.0,,4823638.0,71670951259.2747,430294287388.31104,2.6
AUT,2007,25604,44510.0,,4832038.0,63533950289.946,388691445387.35297,2.7
AUT,2006,30026,41460.0,,4839801.0,49314734979.1288,335998557270.104,2.8
AUT,2005,32863,38720.0,,4839033.0,43473482063.2789,315974418604.651,2.8
AUT,2004,34933,33750.0,,4829142.0,,300904221504.842,2.9
AUT,2003,35759,28020.0,,4822095.0,,261695778781.038,3.0
AUT,2002,36363,24970.0,,4821291.0,,213377771503.858,3.0
AUT,2001,37573,25290.0,,4820068.0,,197337879194.631,3.1
AUT,2000,36732,26790.0,,4824004.0,,196799778883.36105,3.1
BEL,2010,629,46950.0,,10639649.0,55915467223.7271,480951629493.033,2.3
BEL,2009,621,46840.0,,10537701.0,54466242950.9099,481345929424.84,2.4
BEL,2008,560,46470.0,,10448114.0,73241263123.3444,515223524241.98,2.5
BEL,2007,509,42700.0,,10360589.0,75111072058.1163,470324254037.777,2.5
BEL,2006,540,39900.0,,10279407.0,61259992023.1275,407918078032.86896,2.6
BEL,2005,525,37730.0,,10206487.0,57052331586.0996,385570948886.954,2.6
BEL,2004,525,32810.0,,10144977.0,54850149561.0961,368537000248.324,2.7
BEL,2003,582,27030.0,,10095562.0,43362111400.9814,317381715575.62103,2.7
BEL,2002,631,24000.0,,10047703.0,36845206073.7647,257157820440.429,2.8
BEL,2001,704,24430.0,,9997106.0,,236541297539.15,2.8
BEL,2000,685,25860.0,,9956937.0,,236204532891.1,2.9
BGR,2010,369,6940.0,,5347166.0,3581567066.3985705,50381825504.2642,5.1
BGR,2009,294,6670.0,,5357245.0,3671578383.94124,52023504656.2878,5.2
BGR,2008,327,6070.0,,5366322.0,1730042760.98278,54438966419.8639,5.2
BGR,2007,324,4810.0,,5378166.0,-1902663228.5101602,44405101469.5591,5.3
BGR,2006,390,4300.0,,5391557.0,68091904.8275067,34379808888.6039,5.6
BGR,2005,361,3800.0,,5406009.0,646292513.322783,29869283400.0381,6.0
BGR,2004,565,3060.0,,5419782.0,252433419.43232203,26157894736.8421,6.4
BGR,2003,1379,2370.0,,5433321.0,330607784.540446,21144983551.6823,6.9
BGR,2002,1605,1970.0,,5448708.0,396739640.36771697,16402846413.0958,7.3
BGR,2001,1662,1770.0,98.2035598754883,5539603.0,-26527727.269638106,14183497963.1071,7.5
BGR,2000,1510,1660.0,,5629167.0,-298822226.536516,13245833843.5454,7.8
BIH,2010,,4960.0,,1688142.0,,17176781336.7644,5.1
BIH,2009,,4970.0,,1690104.0,,17613836209.9581,5.2
BIH,2008,,4730.0,,1686414.0,,19112739664.4697,5.3
BIH,2007,,3920.0,,1678242.0,,15778767669.6991,5.3
BIH,2006,,3510.0,,1667404.0,,12864610993.5219,5.4
BIH,2005,,3180.0,,1655428.0,,11222953519.4252,5.5
BIH,2004,,2590.0,,1642995.0,,10596205714.2857,5.7
BIH,2003,,2040.0,,1630152.0,,8369878822.85055,5.9
BIH,2002,,1770.0,,1617064.0,,6651106833.49374,6.2
BIH,2001,1,1600.0,,1603529.0,,5748993411.42021,6.5
BIH,2000,,1490.0,96.6631011962891,1589898.0,,5505887894.48893,6.9
BLR,2010,6,6150.0,,7086808.0,6268304493.0987,57222490768.7143,1.8
BLR,2009,6,5700.0,99.61705780029301,7051358.0,5427230110.183121,50874078052.2735,2.0
BLR,2008,7,5500.0,,7024602.0,9204576794.92683,60763483146.0674,2.2
BLR,2007,6,4310.0,,7005597.0,6037666558.24157,45277399813.6067,2.5
BLR,2006,5,3520.0,,6993921.0,5168733226.70705,36954312354.3124,3.0
BLR,2005,3,2810.0,,6992229.0,3518272182.7964396,30207567316.6202,3.5
BLR,2004,,2170.0,,6994710.0,2241873869.29029,23144351851.8519,4.0
BLR,2003,2,1630.0,,6996348.0,924056219.5809367,17827791321.3067,4.5
BLR,2002,8,1380.0,,6998521.0,292643465.151639,14594249022.8922,4.9
BLR,2001,4,1300.0,,6995457.0,254748205.983164,12354820143.8849,5.5
BLR,2000,5,1380.0,,6983033.0,603692453.274812,12738912133.8912,6.0
BRA,2010,38215,9650.0,90.37918090820308,165055096.0,269053884568.664,2208871646202.82,11.2
BRA,2009,34906,8320.0,90.29821014404301,162949974.0,195801010935.345,1667019783585.08,11.6
BRA,2008,32458,7620.0,90.03662109375,160823508.0,216044082151.425,1695824565983.2,12.1
BRA,2007,31017,6190.0,90.00936889648442,158660054.0,182103078784.061,1397084349956.35,12.7
BRA,2006,30602,4850.0,89.61522674560551,156447982.0,134514337708.798,1107640289615.23,13.3
BRA,2005,28965,4000.0,,154176529.0,100818849458.983,891630177251.068,14.1
BRA,2004,27908,3340.0,88.61624145507808,151843987.0,76783206222.5708,669316654017.094,14.9
BRA,2003,26201,2980.0,,149452653.0,54221750693.3839,558319920831.979,15.9
BRA,2002,23988,3090.0,,147005324.0,43702746176.2626,507962487700.024,16.7
BRA,2001,25599,3350.0,,144508695.0,40792016412.3961,559372276081.9661,17.3
BRA,2000,24269,3930.0,86.3678817749023,141915772.0,51539187683.4025,655420645476.906,18.0
CAN,2010,60248,44490.0,,27522537.0,107318679910.666,1617343367486.26,3.7
CAN,2009,59189,43230.0,,27158023.0,60598418736.0388,1374625142157.29,3.8
CAN,2008,60895,45650.0,,26789863.0,157202958546.085,1552989690721.65,3.8
CAN,2007,63994,43090.0,,26441461.0,167013305766.504,1468820407783.26,3.8
CAN,2006,66921,38510.0,,26126316.0,151935780575.823,1319264809590.97,3.8
CAN,2005,66063,34810.0,,25834340.0,132043970090.4,1173108598778.68,3.9
CAN,2004,62495,29900.0,,25566897.0,107812943879.639,1026690238278.25,3.9
CAN,2003,61962,25860.0,,25304780.0,80536619700.2103,895540646634.787,3.9
CAN,2002,60805,23610.0,,25052940.0,66182653336.2991,760649334098.005,3.8
CAN,2001,61098,23030.0,,24757782.0,65868592148.7379,738981792355.3721,3.8
CAN,2000,61093,22620.0,,24388404.0,80379863272.6917,744773415931.587,3.7
CHE,2010,2347,79850.0,,5759681.0,120867583762.849,603434493402.679,3.1
CHE,2009,2100,72470.0,,5697988.0,82885489018.6845,558199868578.256,3.2
CHE,2008,1545,65260.0,,5625324.0,56717802644.6468,570304197211.707,3.2
CHE,2007,744,64480.0,,5552336.0,85223629747.7061,493537376707.764,3.2
CHE,2006,740,65590.0,,5500991.0,96578011050.0667,443801905407.561,3.3
CHE,2005,702,63080.0,,5464643.0,81587293702.8652,420544947799.55,3.3
CHE,2004,703,55200.0,,5427827.0,70827010808.3947,405531321270.6071,3.3
CHE,2003,724,46780.0,,5388808.0,61371576636.033,363063293977.872,3.4
CHE,2002,671,40760.0,,5347082.0,40444137116.4842,310175772488.13,3.4
CHE,2001,704,42110.0,,5304905.0,42646255040.9995,287226531168.523,3.5
CHE,2000,703,44680.0,,5272018.0,53005625893.3156,279841151705.353,3.5
CHL,2010,1449,10750.0,96.818603515625,14857028.0,18647672155.5061,218537551220.071,5.3
CHL,2009,1990,9950.0,97.6642303466797,14693851.0,13576049938.6951,172389498444.62,5.3
CHL,2008,3590,10050.0,97.7224502563477,14529331.0,8472443747.638459,179638496278.57394,5.3
CHL,2007,2201,8690.0,,14364745.0,7298819646.620891,173605968179.255,5.4
CHL,2006,87,7340.0,,14202581.0,6100567630.74119,154788024805.808,5.5
CHL,2005,29,6210.0,,14043844.0,8148044010.75278,122964812046.073,5.4
CHL,2004,944,5190.0,,13888984.0,5652074637.15127,99210392857.6116,5.4
CHL,2003,164,4510.0,,13736098.0,5314839003.773379,75643459839.6008,5.3
CHL,2002,8,4540.0,95.7166213989258,13583643.0,6149474805.82053,69736811435.1032,5.3
CHL,2001,3,4800.0,,13400180.0,5928790601.302361,70979923960.3742,5.4
CHL,2000,5,5060.0,,13205621.0,5424011414.47906,77860932151.8471,5.7
CHN,2010,1190859,4340.0,95.12448120117192,658498663.0,1861782635940.66,6087163874510.73,8.4
CHN,2009,991682,3680.0,,637407288.0,1627941526380.89,5101703073088.97,9.2
CHN,2008,817249,3100.0,,616481190.0,1395692312570.55,4594307032667.98,10.2
CHN,2007,691912,2510.0,,595670841.0,1095282529882.7,3550342737009.53,11.3
CHN,2006,601905,2060.0,,575118254.0,789500037925.552,2752131773358.92,12.6
CHN,2005,505983,1760.0,,554367818.0,619350637111.812,2285965892364.2,14.0
CHN,2004,414015,1510.0,,533257098.0,536326636615.548,1955347004965.69,15.5
CHN,2003,355889,1280.0,,512473984.0,428005027702.286,1660287965663.89,17.2
CHN,2002,292020,1110.0,,491993700.0,337614695695.30896,1470550015077.93,18.6
CHN,2001,221926,1010.0,,471767321.0,281729152085.394,1339395718862.89,19.8
CHN,2000,186013,940.0,90.9202117919922,452999147.0,227212638825.535,1211346869600.41,21.0
COL,2010,1773,5620.0,93.3723297119141,35257425.0,12562830779.3846,286563105192.456,10.0
COL,2009,1344,5130.0,93.24468994140629,34720224.0,13131036085.0168,232397835678.33606,10.3
COL,2008,310,4710.0,93.37818145751949,34166609.0,10605441268.5353,242186950900.775,10.7
COL,2007,238,4130.0,92.6517868041992,33597407.0,9949032975.10793,206181826825.28,11.0
COL,2006,522,3500.0,92.2996826171875,33015425.0,6668917775.49714,161618581266.316,11.4
COL,2005,834,3000.0,92.84866333007808,32422511.0,5745526797.00968,145619191582.061,11.7
COL,2004,836,2620.0,92.8037796020508,31817836.0,2763619671.07084,117081522349.677,12.0
COL,2003,318,2370.0,,31200435.0,1247516345.11535,94641378693.223,12.3
COL,2002,192,2370.0,,30573545.0,578268778.248784,97963003804.7851,12.7
COL,2001,374,2330.0,,29941978.0,-628580651.444169,98211749595.5442,13.1
COL,2000,1329,2340.0,,29309133.0,-2034136818.28983,99886577330.7271,13.5
CRI,2010,657,7260.0,,3283623.0,5659813389.97079,37658614803.2775,6.7
CRI,2009,623,6540.0,,3190512.0,4559340376.16444,30745712006.5307,6.7
CRI,2008,837,6410.0,,3096961.0,4228630988.969121,30801744881.0001,6.8
CRI,2007,693,5680.0,,3002810.0,4016779955.9627104,26884700345.0342,6.9
CRI,2006,570,5060.0,,2908608.0,3122726300.55644,22715540324.3032,7.0
CRI,2005,390,4640.0,,2814376.0,2243246610.871011,20040642476.9817,7.1
CRI,2004,283,4380.0,,2720493.0,2171174682.3621397,18610594846.2083,7.1
CRI,2003,216,4030.0,,2626685.0,1790161824.85264,17271760506.9483,7.2
CRI,2002,174,3770.0,,2532442.0,1888280939.4062893,16578820687.2881,7.3
CRI,2001,110,3670.0,,2436984.0,2289523737.30608,15976174336.9721,7.5
CRI,2000,59,3570.0,94.8681869506836,2339858.0,2031721552.8615398,15013629665.1416,7.7
CUB,2010,276,5610.0,,8598651.0,,64328000000.0,2.9
CUB,2009,207,5520.0,,8588995.0,,62080000000.0,3.0
CUB,2008,166,5460.0,,8586510.0,,60806300000.0,3.1
CUB,2007,136,5000.0,,8586852.0,,58603900000.0,3.2
CUB,2006,127,4530.0,,8584106.0,,52742800000.0,3.3
CUB,2005,100,3960.0,,8573896.0,,42643836100.0,3.4
CUB,2004,79,3490.0,,8554893.0,,38203000000.0,3.6
CUB,2003,74,3100.0,,8528229.0,,35901200000.0,3.8
CUB,2002,99,2820.0,99.799072265625,8487665.0,,33590500000.0,4.0
CUB,2001,95,2760.0,,8435471.0,,31682400000.0,4.2
CUB,2000,105,2620.0,,8380756.0,,30565400000.0,4.3
CYP,2010,1132,32040.0,,751584.0,1652651734.93174,25732432719.0773,2.0
CYP,2009,1189,32780.0,,743351.0,2539787378.67813,25945391775.4932,2.1
CYP,2008,1189,31970.0,,733725.0,2195192573.69874,27844698989.3072,2.2
CYP,2007,706,27340.0,,723130.0,1624280192.97349,23968764029.5647,2.4
CYP,2006,135,25600.0,,712252.0,2094017113.0600104,20072786350.5206,2.5
CYP,2005,62,23990.0,,701561.0,1879354353.34941,18433411267.2553,2.7
CYP,2004,92,20260.0,,691221.0,1752021978.31673,17320552500.0,2.9
CYP,2003,85,16710.0,,681117.0,1601162730.06736,14547325028.3126,3.1
CYP,2002,64,14510.0,,671118.0,1042284227.32559,11420227884.6154,3.2
CYP,2001,42,14170.0,96.8036270141602,660371.0,744108074.581238,10397897085.6102,3.4
CYP,2000,59,14180.0,,647548.0,691611262.136086,9985844486.33365,3.7
CZE,2010,2676,19400.0,,7673029.0,7454301249.804979,209069940963.177,1.7
CZE,2009,2348,18840.0,,7657912.0,9451345569.780241,207434296805.33,1.8
CZE,2008,2094,18510.0,,7621676.0,21418154910.9134,236816485762.988,1.9
CZE,2007,2097,15850.0,,7565828.0,19208240066.7946,190183800884.018,2.0
CZE,2006,1986,14000.0,,7528974.0,13391403724.1819,156264095664.643,2.1
CZE,2005,2083,12480.0,,7515659.0,11315329043.466002,137143471328.274,2.2
CZE,2004,2155,10260.0,,7512306.0,8041859940.6688595,119814434353.575,2.3
CZE,2003,2244,8110.0,,7517054.0,5370240949.19798,100090467581.268,2.4
CZE,2002,4656,6650.0,,7526242.0,5166681199.64526,82196001050.7474,2.4
CZE,2001,6701,6350.0,,7547721.0,4697717658.25552,67808032979.5429,2.6
CZE,2000,7584,6340.0,,7587516.0,3937125212.22124,61828166496.0941,2.7
DEU,2010,77747,44550.0,,62940432.0,400969717285.294,3396354075663.73,2.3
DEU,2009,78892,43520.0,,62877220.0,339992422253.54803,3397791053070.3,2.4
DEU,2008,90379,43570.0,,62875807.0,498354594484.815,3730027830672.33,2.4
DEU,2007,99379,40440.0,,62833410.0,510556681072.735,3421229126745.14,2.5
DEU,2006,111228,38230.0,,62753557.0,385147148068.989,2992196713084.93,2.6
DEU,2005,124119,35710.0,,62660267.0,295580348644.604,2845802760850.64,2.6
DEU,2004,135419,31570.0,,62529997.0,299445313861.361,2809187981127.39,2.6
DEU,2003,145008,26080.0,,62376854.0,198395208113.936,2496128668171.56,2.7
DEU,2002,153754,23610.0,,62174878.0,180728005680.621,2068624129493.69,2.7
DEU,2001,168892,24740.0,,61902439.0,170381543623.06,1944107382550.34,2.7
DEU,2000,176035,26150.0,,61629857.0,175051202219.906,1943145384190.16,2.8
DNK,2010,7874,61220.0,,4815111.0,43057289072.9961,321995279401.502,2.9
DNK,2009,7658,60090.0,,4785983.0,35316379509.1212,321241303699.00604,2.8
DNK,2008,7612,60390.0,,4751268.0,48405528150.4263,353361038818.383,2.8
DNK,2007,7282,55740.0,,4712839.0,48230175472.5241,319423424509.06604,2.9
DNK,2006,7527,53540.0,,4681382.0,46147642791.3673,282884947702.966,3.0
DNK,2005,7291,49610.0,,4652908.0,40601483161.5112,264467336457.17,3.1
DNK,2004,7501,42640.0,,4624434.0,37061058231.7724,251373002954.382,3.1
DNK,2003,7725,34750.0,,4601394.0,30523448804.3217,218096033517.00894,3.2
DNK,2002,7786,30850.0,,4582981.0,25657504106.2171,178635163717.43106,3.2
DNK,2001,8257,31410.0,,4563004.0,25179605325.5675,164791442543.375,3.4
DNK,2000,8830,32580.0,,4544013.0,23588554315.4165,164158739097.62302,3.5
DOM,2010,368,5330.0,89.53872680664058,7150440.0,8021046208.35885,53860175555.9961,22.8
DOM,2009,268,4920.0,,6947156.0,7097494438.5547,48261033298.2133,22.8
DOM,2008,66,4760.0,,6743610.0,7972446438.7972,48122547177.1881,22.9
DOM,2007,141,4430.0,88.2444610595703,6539067.0,7552358012.34997,43965420072.4107,22.9
DOM,2006,284,3640.0,,6334156.0,6832321123.53465,37879869897.8979,22.9
DOM,2005,240,3040.0,,6128825.0,6387341557.86392,35777570135.5225,22.9
DOM,2004,211,2560.0,,5923402.0,4274419460.3636093,22322395368.0274,22.9
DOM,2003,208,2640.0,,5717747.0,3921359823.49416,21403167848.1444,23.0
DOM,2002,166,2890.0,86.99646759033199,5529103.0,5782593302.60236,27137508656.8522,23.1
DOM,2001,156,2740.0,,5379713.0,5595955368.41597,25601765400.5153,23.3
DOM,2000,60,2680.0,,5231292.0,5040509255.0669,24305717541.6371,23.4
DZA,2010,,4480.0,,24299170.0,46387500355.0971,161207310515.42,17.5
DZA,2009,,4290.0,,23612220.0,35724347360.5236,137211049535.152,18.2
DZA,2008,,4220.0,75.13604736328129,22955887.0,53150536215.922005,171000653424.751,18.9
DZA,2007,,3600.0,,22327435.0,41660135801.6278,134977125918.571,19.4
DZA,2006,,3100.0,72.648681640625,21729736.0,31255033044.3219,117027321306.159,19.7
DZA,2005,,2710.0,,21159466.0,25731708768.3637,103198251003.394,19.9
DZA,2004,1,2250.0,,20615999.0,,85332581188.6107,20.1
DZA,2003,22,1920.0,,20095409.0,,67863841333.4195,20.4
DZA,2002,65,1730.0,69.8734970092773,19591211.0,,56760318215.3036,20.6
DZA,2001,224,1670.0,,19094843.0,,54744725765.7191,20.9
DZA,2000,192,1590.0,,18600199.0,,54790379458.8877,21.0
ECU,2010,793,4390.0,91.8540420532227,9410467.0,5804651028.77246,69555367000.0,9.2
ECU,2009,630,4060.0,92.24976348876949,9233269.0,6401030043.80244,62519686000.0,9.6
ECU,2008,919,3860.0,92.3900527954102,9055766.0,4653501612.6664295,61762635000.0,10.0
ECU,2007,438,3310.0,92.0967864990234,8878732.0,2579600797.63582,51007777000.0,10.4
ECU,2006,790,3100.0,,8703740.0,1536569405.19429,46802044000.0,10.9
ECU,2005,711,2880.0,,8532064.0,291079463.27892,41507085000.0,11.3
ECU,2004,571,2550.0,,8363683.0,-269418451.206487,36591661000.0,11.8
ECU,2003,507,2110.0,,8197752.0,569981061.3508941,32432858000.0,12.3
ECU,2002,194,1730.0,,8033023.0,427631233.758384,28548945000.0,12.9
ECU,2001,116,1550.0,90.9840316772461,7851984.0,251296231.83895695,24468324000.0,13.6
ECU,2000,582,1550.0,,7646590.0,389956607.14360297,18327764882.4412,14.5
EGY,2010,447,2370.0,72.0478515625,35603060.0,14858901980.0642,218983666061.706,15.9
EGY,2009,445,2120.0,,34919602.0,9754298434.58626,189147005444.64606,16.6
EGY,2008,401,1840.0,,34289704.0,12189168244.2582,162818181818.182,17.1
EGY,2007,414,1530.0,,33700834.0,11447576719.8295,130437828371.27803,17.7
EGY,2006,408,1320.0,66.3699111938477,33111796.0,7492628635.93973,107426086956.522,18.3
EGY,2005,382,1220.0,67.3318710327148,32495529.0,5188496231.1804285,89600665557.4043,18.9
EGY,2004,184,1200.0,,31879899.0,5576480903.58767,78782467532.4675,19.5
EGY,2003,233,1240.0,,31267887.0,5734715612.49669,80288461538.4615,20.1
EGY,2002,341,1330.0,,30659221.0,7508927962.57255,85146067415.7303,20.8
EGY,2001,397,1430.0,,30055505.0,10137506553.0681,96684636118.5984,21.5
EGY,2000,439,1420.0,,29457843.0,6909015336.8775215,99838543960.0763,22.3
ESP,2010,29421,31880.0,97.7489013671875,36535850.0,104758311912.807,1420722034063.0,2.1
ESP,2009,29795,32460.0,97.6792678833008,36260460.0,124517954292.307,1485583495415.39,2.1
ESP,2008,30932,32190.0,97.63060760498051,35833174.0,148309339232.207,1625224842536.99,2.2
ESP,2007,29819,29740.0,97.9388427734375,35159317.0,156027666655.436,1472131125102.66,2.2
ESP,2006,29989,27820.0,97.75213623046879,34408810.0,141803294445.433,1259343871534.31,2.3
ESP,2005,29848,25870.0,97.7506866455078,33727737.0,135271345282.577,1153285660987.44,2.4
ESP,2004,30405,22070.0,97.1651229858398,33059302.0,134913013148.818,1067093369754.16,2.5
ESP,2003,30015,18030.0,,32390830.0,123844089280.282,905492099322.7992,2.6
ESP,2002,30022,15590.0,,31708814.0,92109866601.0024,705394315829.098,2.7
ESP,2001,30711,15520.0,,31186430.0,77152207214.9046,627286800894.855,2.8
ESP,2000,31096,15770.0,,30937864.0,75085698652.1831,596877648793.072,2.8
EST,2010,217,14700.0,,906655.0,1575584123.01592,19685038567.3462,2.2
EST,2009,213,14620.0,,910446.0,1676715902.67825,19744110864.1289,2.3
EST,2008,198,15200.0,,913914.0,2719245865.41287,24371299252.9662,2.6
EST,2007,171,13420.0,,918084.0,3001945850.73951,22445583082.398,2.8
EST,2006,138,11500.0,,924006.0,2348742149.12562,17012322167.8585,3.1
EST,2005,138,9730.0,,931205.0,1865864270.7475104,14098326078.8459,3.4
EST,2004,134,7500.0,,938279.0,1289125508.18245,12144397515.528,3.7
EST,2003,116,5730.0,,945646.0,1041081517.43906,9877636630.53297,4.0
EST,2002,625,4620.0,,953352.0,768039784.168375,7372457379.674109,4.4
EST,2001,963,4310.0,,961159.0,665914086.54629,6259257899.91943,4.8
EST,2000,1150,4160.0,99.7671966552734,969061.0,626435653.404362,5694069842.439878,5.3
FIN,2010,4407,49600.0,,4492880.0,25925907543.0826,249181190476.369,1.7
FIN,2009,4523,48800.0,,4454167.0,24761364440.126,252496526813.004,1.8
FIN,2008,4446,50070.0,,4426008.0,43327347686.239,284553976856.599,1.9
FIN,2007,4741,46160.0,,4398523.0,44218892099.909004,256052559540.104,2.0
FIN,2006,4831,42800.0,,4372951.0,34421726082.0484,216907539831.89105,2.0
FIN,2005,4730,40170.0,,4349276.0,32740048447.0115,204809103345.355,2.1
FIN,2004,5134,35270.0,,4327463.0,33905504246.4626,197116960516.514,2.2
FIN,2003,5116,28720.0,,4307931.0,26653252890.8263,171274266365.68802,2.2
FIN,2002,5548,25550.0,,4290649.0,25797338238.4685,139738377564.465,2.3
FIN,2001,6023,25810.0,,4273258.0,25259810226.5242,129421029082.774,2.4
FIN,2000,6319,26450.0,,4253964.0,23774240351.6038,125706651925.557,2.5
FRA,2010,26752,43850.0,,50961405.0,214969042040.794,2642609548930.36,2.3
FRA,2009,25314,43930.0,,50547195.0,213930920541.654,2690222283967.77,2.3
FRA,2008,26497,43460.0,,50127509.0,317756916832.891,2918382891460.38,2.3
FRA,2007,26816,40130.0,,49690036.0,312324513071.836,2657213249384.07,2.3
FRA,2006,27072,37850.0,,49228312.0,263409912052.104,2318593651988.46,2.4
FRA,2005,27261,35870.0,,48730237.0,238067846703.884,2196126103718.44,2.4
FRA,2004,27952,31360.0,,48209409.0,238889637345.095,2115742488204.62,2.5
FRA,2003,27281,25930.0,,47699496.0,205508668147.82,1840480812641.08,2.6
FRA,2002,27213,23090.0,,47206862.0,171246133370.161,1494286655373.61,2.7
FRA,2001,27657,23840.0,,46709572.0,176403829762.42398,1376465324384.79,2.7
FRA,2000,28270,24970.0,,46214923.0,176309773835.045,1362248940482.77,2.7
GBR,2010,38163,41740.0,,51030310.0,64681853806.0496,2481579504997.81,3.0
GBR,2009,39011,44230.0,,50463084.0,4680529111.36551,2412389780339.62,3.1
GBR,2008,41495,48470.0,,49913475.0,72900229920.5622,2921431985294.12,3.2
GBR,2007,43843,47500.0,,49351705.0,155088048773.173,3093407362945.18,3.3
GBR,2006,43671,45060.0,,48798541.0,136183655474.594,2706014719411.22,3.4
GBR,2005,45399,42740.0,,48269624.0,147052439655.711,2532796363636.36,3.5
GBR,2004,49128,37770.0,,47767769.0,118170442833.408,2412045038447.46,3.5
GBR,2003,50907,32250.0,,47323791.0,116626840429.834,2050919183673.47,3.6
GBR,2002,51851,29180.0,,46930583.0,96682236930.0279,1780082434052.76,3.6
GBR,2001,53251,28970.0,,46557334.0,82687181034.9827,1638656974233.48,3.7
GBR,2000,53801,29230.0,,46319551.0,90110486868.1973,1658193372673.63,3.8
GEO,2010,222,3210.0,,2102941.0,-367770803.040348,12243505582.6741,10.1
GEO,2009,260,2950.0,,2103652.0,-1311654662.9084,10766836276.5639,11.0
GEO,2008,156,2820.0,,2107603.0,-1114401155.28776,12795076469.0099,12.1
GEO,2007,231,2380.0,,2099115.0,-139319670.061822,10172882370.5477,13.3
GEO,2006,291,1910.0,,2095077.0,-69826850.5458502,7745394293.41721,14.6
GEO,2005,288,1520.0,,2091919.0,441134982.235141,6410823633.25426,16.1
GEO,2004,378,1210.0,,2090052.0,433725786.061517,5125365191.98664,17.7
GEO,2003,396,990.0,,2087702.0,119468812.321138,3991284895.37214,19.3
GEO,2002,371,840.0,99.65235137939449,2086373.0,214013761.36018,3395728013.8452396,20.5
GEO,2001,338,780.0,,2103451.0,189542108.350671,3219488663.7723107,21.5
GEO,2000,377,790.0,,2146120.0,-78853907.8592712,3057475335.1884604,22.4
GRC,2010,652,27530.0,,8484693.0,-29879508046.5487,296835346570.223,2.1
GRC,2009,682,29330.0,93.9051132202148,8433780.0,-25472793217.9947,330000251458.739,2.1
GRC,2008,794,28660.0,,8371303.0,-9812668760.68171,354460802695.181,2.1
GRC,2007,692,26350.0,93.93154907226558,8308341.0,1217801507.15951,318497937311.799,2.2
GRC,2006,681,24550.0,,8246206.0,8576432773.947479,273317736795.885,2.3
GRC,2005,603,,93.0443115234375,8180275.0,,247783002114.165,2.5
GRC,2004,466,,,8114802.0,,240521261484.976,2.7
